Id Catalog;Artiste;Titre;Label;Format;Année de Sortie;Etat du Vinyle;Etat de la Pochette;Notes
6755578;Damso;Ipséité;92I, Capitol Music France;LP, Album, RP;;;;
393 750-1;Sting;The Dream Of The Blue Turtles;A&M Records;LP, Album;1985;;;
394 792-1;The Police;Reggatta De Blanc;A&M Records;LP, Album;;;;
875.062;Supertramp;Crisis? What Crisis?;A&M Records;LP, Album;1975;;;
AMLK 64634;Supertramp;Even In The Quietest Moments...;A&M Records;LP, Album;1977;;;
AMLK 64747;Supertramp;Breakfast In America;A&M Records;LP, Album;1979;;;
AMLS 68258;Supertramp;Crime Of The Century;A&M Records;LP, Album;1974;;;
AMLX 63735;The Police;Synchronicity;A&M Records;LP, Album;1983;;;
CAT 64;Harmonie Municipale De Lestrem;1841-1991;Actifs;2xLP, Album, Gat;1991;;;
3896639 389663 9;Angèle;Nonante-Cinq;Angèle VL Records, Angèle VL Records;LP, Album, Gat;2021;;;
67933026792577;Angèle;Brol;Angèle VL Records, Angèle VL Records;"LP, Album, Blu + 7"", S/Sided, Pic + Ltd";2018;;;
2C 162 05307/8 2C 162-05307/8;The Beatles;The Beatles 1962/1966;Apple Records, Apple Records;2xLP, Comp, RE, Gat;1978;;;
5052498774906;Ed Sheeran;+;Asylum Records, Atlantic;LP, Album, Ltd, 180;2011;;;
8122-79657-7;Led Zeppelin;Untitled;Atlantic;LP, Album, RE, RM, Gat;2020;;;
SD 7208;Led Zeppelin;Untitled;Atlantic;LP, Album, Club, Gat;1971;;;
LC02982;Otis Redding;Otis Blue / Otis Redding Sings Soul;Atlantic Recording Corporation;LP, Album, RE, S/Edition, Blu;1965;;;
ATL 50 628 SD 19244;AC/DC;Highway To Hell;Atlantic, Atlantic;LP, Album;1979;;;
ATL K 50 851 K 50 851  SD 19111;AC/DC;For Those About To Rock (We Salute You);Atlantic, Atlantic, Atlantic;LP, Album, Gat;;;;
067 507 1;Louise Attaque;Louise Attaque;Barclay;LP, Album, RE;2018;;;
816 833-1;Jacques Brel;Quinze Ans D'Amour;Barclay;2xLP, Comp, Gat;1988;;;
530 921-2;Noir Désir;666.667 Club;Barclay, Maison Barclay, Universal Music France;2xLP, Album, RE, RP, 180;2014;;;
BEC5161469;London Grammar;If You Wait;Because Music;2xLP, Album, Gat + CD, Album;2013;;;
BEC5772894;Metronomy;The English Riviera;Because Music;LP, Album;2011;;;
RKIDLP70;Oasis (2);Definitely Maybe;Big Brother;2xLP, Album, RE, RM, 180;2014;;;
RKIDLP85;Oasis (2);Be Here Now;Big Brother;2xLP, Album, RE, RM, Gat;2016;;;
073 026-4;Terrenoire;Les Forces Contraires;Black Paradiso;LP, Album;2020;;;
